Accession,Organism_Name,Organism_Common_Name,Organism_Taxonomic_ID,Submitter,Submission_Date,Sequencing_Tech,Level,Contig_L50,Contig_N50,GC_Count,GC_Percent,Number_of_Component_Sequences,Number_of_Contigs,Number_of_Scaffolds,Scaffold_L50,Scaffold_N50,Total_Number_of_Chromosomes,Total_Sequence_Length,Total_Ungapped_Length,Organism_Infraspecific_Names_Sex,Source_Database,WGS_project_accession,First_Publication_Date,Original_Contig_N50,Phylum,Sequencing_Type
GCA_900239665.1,Adineta vaga,,104782,IMPERIAL COLLEGE LONDON,2018-02-12,nan,Contig,23420,1259,66424449.0,30.5,298880,298880,,,,,216204602,216204602,,SOURCE_DATABASE_GENBANK,OEOC01,2018-02-12,1259,Rotifera,No information provided
GCA_026167845.1,Alcyonidium flabelliforme,,2663170,IRIDIAN GENOMES,2022-11-14,Illumina,Scaffold,19803,268,6339442.0,43.5,48775,48789,48775.0,19804.0,268.0,,14514068,14513928,,SOURCE_DATABASE_GENBANK,JAOQFJ01,2022-11-14,268,Bryozoa,Short read
GCA_932294295.1,Alitta virens,,880429,WELLCOME SANGER INSTITUTE,2022-03-11,nan,Chromosome,27,7783370,252442375.0,37.5,24,218,24.0,6.0,42251612.0,14.0,671154093,671115293,,SOURCE_DATABASE_GENBANK,CAKOAE01,2022-03-11,7783370,Annelida,No information provided
GCA_932294305.1,Alitta virens,,880429,WELLCOME SANGER INSTITUTE,2022-03-11,nan,Contig,431,338767,195843416.0,37.5,3741,3741,,,,,521799974,521799974,,SOURCE_DATABASE_GENBANK,CAKOAC01,2022-03-11,338767,Annelida,No information provided
GCA_018857735.1,Alviniconcha marisindica,,1491186,HKUST,2021-06-11,PacBio Sequel; Oxford Nanopore MinION,Contig,336,727552,377212195.0,45.0,3926,3926,,,,,829610088,829610088,,SOURCE_DATABASE_GENBANK,JABMCL01,2021-06-11,727552,Mollusca,Long read
GCA_949316495.1,Amphiduros pacificus,,1209993,WELLCOME SANGER INSTITUTE,2023-03-10,"PacBio,Arima2",Chromosome,32,7010533,260455461.0,37.5,32,187,32.0,6.0,54531576.0,13.0,694322451,694291451,,SOURCE_DATABASE_GENBANK,CASGGN01,2023-03-10,7010533,Annelida,Long read
GCA_026873925.1,Amphioctopus burryi,,2447850,Iridian Genomes,2022-12-13,Illumina,Scaffold,267031,869,248011849.0,37.5,605084,786390,605084.0,26.0,3795778.0,,1031232840,661314631,,SOURCE_DATABASE_GENBANK,JAOSYW01,2022-12-13,869,Mollusca,Short read
GCA_944989445.1,Ampullaceana balthica,,582868,Senckenber Biodiversity and Climate Research Centre Frankfurt,2022-07-13,nan,Scaffold,620,435188,399615033.0,36.0,4540,7533,4540.0,343.0,816280.0,,1105887359,1099326933,,SOURCE_DATABASE_GENBANK,CALYLW01,2022-07-13,435188,Mollusca,No information provided
GCA_900184025.1,Amynthas corticis,,351238,CARDIFF SCHOOL OF BIOSCIENCES,2017-07-18,nan,Scaffold,481039,510,408236854.0,40.0,3169720,3225964,3169720.0,453614.0,539.0,,1017224661,1013688070,,SOURCE_DATABASE_GENBANK,FXXH01,2017-07-18,510,Annelida,No information provided
GCA_900184015.1,Amynthas corticis,,351238,CARDIFF SCHOOL OF BIOSCIENCES,2017-07-17,nan,Scaffold,478750,216,186475295.0,40.5,1972796,2037408,1972796.0,412946.0,222.0,,459466737,455989790,,SOURCE_DATABASE_GENBANK,FXXG01,2017-07-17,216,Annelida,No information provided
GCA_021292105.1,Anadara kagoshimensis,,1390362,Liaoning Ocean and Fisheries Science Research Institute,2021-12-28,PacBio Sequel,Chromosome,176,1935399,373908242.0,33.5,36,975,36.0,9.0,60635260.0,19.0,1115236308,1114297308,,SOURCE_DATABASE_GENBANK,JACFYK01,2021-12-28,1935399,Mollusca,Long read
GCA_009936545.2,Anentome helena,,1912881,IRIDIAN GENOMES,2022-11-21,Illumina,Scaffold,167510,737,158578921.0,43.0,477554,478330,477554.0,167589.0,737.0,,365203695,365174155,,SOURCE_DATABASE_GENBANK,WUUA02,2020-01-27,56088,Mollusca,Short read
GCF_000002075.1,Aplysia californica,California sea hare,6500,Broad Institute,2013-05-15,Illumina Hi-Seq,Scaffold,16682,9584,297686214.0,40.0,164544,164544,4331.0,291.0,917541.0,,927296314,737783370,hermaphrodite,SOURCE_DATABASE_REFSEQ,AASC03,2013-05-15,9584,Mollusca,Short read
GCA_000002075.2,Aplysia californica,California sea hare,6500,Broad Institute,2013-05-15,Illumina Hi-Seq,Scaffold,16682,9584,297686214.0,40.0,164544,164544,4331.0,291.0,917541.0,,927296314,737783370,hermaphrodite,SOURCE_DATABASE_GENBANK,AASC03,2009-07-17,18812,Mollusca,Short read
GCA_020284085.1,Aporrectodea caliginosa,,302032,None,2021-10-06,Oxford Nanopore; Illumina,Scaffold,391,825441,446294889.0,40.0,6451,7077,6451.0,279.0,1177782.0,,1111813877,1110646419,hermaphrodite,SOURCE_DATABASE_GENBANK,JACEVL01,2021-10-06,825441,Annelida,Long read
GCA_006491835.1,Architeuthis dux,giant squid,256136,CIIMAR - Interdisciplinary Centre of Marine and Environmental Research,2019-06-26,Illumina HiSeq; Chicago and Dovetail Hi-C,Scaffold,114664,5397,809286996.0,36.0,7373,681943,7373.0,160.0,4852590.0,,2693618964,2242100778,,SOURCE_DATABASE_GENBANK,VCCN01,2019-06-26,5397,Mollusca,Short read
GCA_014843695.1,Archivesica marissinica,,2291877,Hong Kong Baptist University,2020-10-07,PacBio Sequel; Illumina NovaSeq,Chromosome,5655,79144,592617087.0,39.0,4005,29278,4005.0,9.0,74312544.0,19.0,1544610695,1519337608,,SOURCE_DATABASE_GENBANK,JABXNX01,2020-10-07,79144,Mollusca,Long read
GCA_004382765.1,Argopecten irradians concentricus,,158586,Qingdao Agricultural University,2019-03-26,Illumina HiSeq,Scaffold,3519,63725,309333623.0,35.5,82208,119459,82208.0,202.0,1246717.0,,874784041,867812944,,SOURCE_DATABASE_GENBANK,SAYQ01,2019-03-26,63725,Mollusca,Short read
GCA_004382745.1,Argopecten irradians irradians,bay scallop,158587,Qingdao Agricultural University,2019-03-26,Illumina HiSeq,Scaffold,2698,78654,292069892.0,35.0,77685,111436,77685.0,150.0,1533165.0,,835595382,826255115,,SOURCE_DATABASE_GENBANK,SAYR01,2019-03-26,78654,Mollusca,Short read
GCA_020796225.1,Arion vulgaris,,1028688,SNSB - Zoologische Staatssammlung Munchen,2021-11-08,Illumina HiSeq; Nanopore PromethION; Hi-C,Chromosome,49,8603329,592964096.0,38.0,6751,7076,6751.0,10.0,64342731.0,26.0,1541026261,1540993941,,SOURCE_DATABASE_GENBANK,JADZMA01,2021-11-08,8603329,Mollusca,Long read
GCA_013407085.1,Atriophallophorus winterbourni,,2682772,Swiss Federal Institute of Technology in Zurich,2020-07-13,Illumina HiSeq; PacBio,Scaffold,4694,33380,244116754.0,40.5,26114,29239,26114.0,3947.0,40108.0,,601728533,599404735,hermaphrodite,SOURCE_DATABASE_GENBANK,JACCGJ01,2020-07-13,33380,Platyhelminthes,Long read
GCA_011634625.1,Babylonia areolata,,304850,"Fisheries and Technical, Economic College",2020-03-23,Illumina NovaSeq; Oxford Nanopore MinION,Scaffold,46183,5933,476870856.0,43.0,340123,359333,340123.0,43506.0,6321.0,,1108395005,1106483053,,SOURCE_DATABASE_GENBANK,JAAQRG01,2020-03-23,5933,Mollusca,Long read
GCA_018292915.1,Batillaria attramentaria,,370345,Ewha Womans University,2021-05-06,PacBio Sequel,Contig,158,1290776,321790871.0,44.5,863,863,,,,,717569005,717569005,,SOURCE_DATABASE_GENBANK,JACVVK01,2021-05-06,1290776,Mollusca,Long read
GCA_016432935.1,Benedenia humboldti,,2730667,Clemson University,2021-01-06,Illumina,Contig,111,3974,719455.0,33.5,1079,1079,,,,,2136498,2136498,,SOURCE_DATABASE_GENBANK,JAEDOY01,2021-01-06,3974,Platyhelminthes,Short read
GCF_000457365.2,Biomphalaria glabrata,bloodfluke planorb,6526,Washington University (WashU),2013-09-06,454 FLX Titanium,Scaffold,32140,7299,322969017.0,35.5,406924,406924,330021.0,3091.0,48076.0,116.0,914943342,897466079,,SOURCE_DATABASE_REFSEQ,APKA01,2013-09-06,7298,Mollusca,Short read
GCA_000457365.2,Biomphalaria glabrata,bloodfluke planorb,6526,Washington University (WashU),2013-09-06,454 FLX Titanium,Scaffold,32140,7299,322969017.0,35.5,406924,406924,330021.0,3091.0,48076.0,116.0,914943342,897466079,,SOURCE_DATABASE_GENBANK,APKA01,2013-09-06,7298,Mollusca,Short read
GCA_014524955.1,Biomphalaria glabrata,bloodfluke planorb,6526,Oregon State University,2020-09-11,PacBio Sequel,Contig,575,394791,276711554.0,36.0,3492,3492,,,,,767739590,767739590,,SOURCE_DATABASE_GENBANK,JABXJA01,2020-09-11,394791,Mollusca,Long read
GCA_014524965.1,Biomphalaria glabrata,bloodfluke planorb,6526,Oregon State University,2020-09-11,PacBio Sequel,Contig,100,2598223,307905789.0,36.0,927,927,,,,,852019028,852019028,,SOURCE_DATABASE_GENBANK,JABXJB01,2020-09-11,2598223,Mollusca,Long read
GCA_014525025.1,Biomphalaria glabrata,bloodfluke planorb,6526,Oregon State University,2020-09-11,PacBio Sequel,Contig,321,743154,292895312.0,36.0,2717,2717,,,,,810871405,810871405,,SOURCE_DATABASE_GENBANK,JABXJC01,2020-09-11,743154,Mollusca,Long read
GCA_024586205.1,Biomphalaria glabrata,bloodfluke planorb,6526,Oregon State University,2022-08-08,PacBio Sequel,Scaffold,33,7313524,308761831.0,36.0,1833,1932,1833.0,19.0,15088501.0,,852540440,852530540,,SOURCE_DATABASE_GENBANK,JANFOY01,2022-08-08,7313524,Mollusca,Long read
GCA_024586215.1,Biomphalaria glabrata,bloodfluke planorb,6526,Oregon State University,2022-08-08,PacBio Sequel,Scaffold,118,1995974,303748286.0,36.0,2515,2643,2515.0,94.0,2345001.0,,837321584,837308784,,SOURCE_DATABASE_GENBANK,JANFOZ01,2022-08-08,1995974,Mollusca,Long read
GCA_025434165.1,Biomphalaria glabrata,bloodfluke planorb,6526,Center for Evolutionary and Theoretical Immunology,2022-09-27,PacBio Sequel; Illumina NextSeq,Contig,18,19398339,319586071.0,36.0,346,346,,,,,885210441,885210441,,SOURCE_DATABASE_GENBANK,JAKZJK01,2022-09-27,19398339,Mollusca,Long read
GCA_025434175.1,Biomphalaria glabrata,bloodfluke planorb,6526,Center for Evolutionary and Theoretical Immunology,2022-09-27,PacBio Sequel; Illumina NextSeq,Contig,13,22698051,314730424.0,36.0,255,255,,,,,870959050,870959050,,SOURCE_DATABASE_GENBANK,JAKZJL01,2022-09-27,22698051,Mollusca,Long read
GCA_947242115.1,Biomphalaria glabrata,bloodfluke planorb,6526,WELLCOME SANGER INSTITUTE,2022-10-29,"PacBio,Arima2",Chromosome,27,10774472,307478615.0,36.0,43,200,43.0,7.0,48536009.0,18.0,850620091,850588691,,SOURCE_DATABASE_GENBANK,CAMXHX01,2022-10-29,10774472,Mollusca,Long read
GCA_947242385.1,Biomphalaria glabrata,bloodfluke planorb,6526,WELLCOME SANGER INSTITUTE,2022-10-28,"PacBio,Arima2",Contig,267,647569,225638473.0,36.0,2845,2845,,,,,623420618,623420618,,SOURCE_DATABASE_GENBANK,CAMXHY01,2022-10-28,647569,Mollusca,Long read
GCA_021533235.1,Biomphalaria straminea,,112526,The Chinese University of Hong Kong,2022-01-20,Illumina HiSeq,Scaffold,27228,9530,344078632.0,36.0,84585,184972,84585.0,15.0,25272813.0,,1004745081,954954798,,SOURCE_DATABASE_GENBANK,JADKLZ01,2022-01-20,9530,Mollusca,Short read
GCA_028566455.1,Botula fusca,,857299,Iridian Genomes,2023-02-09,Illumina,Scaffold,181174,2129,460898323.0,34.5,780778,802895,780778.0,173412.0,2171.0,,1333706665,1328841128,,SOURCE_DATABASE_GENBANK,JAOXYH01,2023-02-09,2129,Mollusca,Short read
GCA_021432725.1,Brachionus angularis,,396692,Sungkyunkwan University,2022-01-11,Oxford Nanopore PromethION; Illumina NovaSeq,Contig,5,5422639,13367433.0,23.5,21,21,,,,,56513240,56513240,,SOURCE_DATABASE_GENBANK,JAJVDD01,2022-01-11,5422639,Rotifera,Long read
GCA_025491095.1,Brachionus asplanchnoidis,,1857775,University of Innsbruck,2022-09-29,PacBio Sequel,Contig,20,3065462,70154270.0,30.0,455,455,,,,,230116674,230116674,,SOURCE_DATABASE_GENBANK,JAILYF01,2022-09-29,3065462,Rotifera,Long read
GCA_006352335.1,Brachionus asplanchnoidis,,1857775,University of Innsbruck,2019-06-18,Illumina HiSeq,Contig,2902,10465,29980483.0,26.0,23471,23471,,,,,114426057,114426057,,SOURCE_DATABASE_GENBANK,VAHG01,2019-06-18,10465,Rotifera,Short read
GCA_006352485.1,Brachionus asplanchnoidis,,1857775,University of Innsbruck,2019-06-18,Illumina,Contig,3290,9227,30050620.0,26.0,26013,26013,,,,,114845438,114845438,,SOURCE_DATABASE_GENBANK,SZZS01,2019-06-18,9227,Rotifera,Short read
GCA_002922825.1,Brachionus calyciflorus,,104777,Sungkyunkwan University,2018-02-07,Illumina HiSeq,Scaffold,1321,26524,31384747.0,25.5,1041,9394,1041.0,48.0,785733.0,,129626318,121385167,pooled male and female,SOURCE_DATABASE_GENBANK,NTPY01,2018-02-07,26524,Rotifera,Short read
GCA_905250105.1,Brachionus calyciflorus,,104777,IMPERIAL COLLEGE LONDON,2021-03-19,nan,Scaffold,1902,16543,29892794.0,25.5,14869,15666,14869.0,1692.0,18516.0,,116732113,116656851,,SOURCE_DATABASE_GENBANK,CAJNOC01,2021-03-19,16543,Rotifera,No information provided
GCA_016987375.1,Brachionus koreanus,,1199090,Sungkyunkwan University,2021-02-26,Illumina HiSeq,Scaffold,892,25177,20986688.0,26.5,567,6067,567.0,16.0,1856740.0,,86146996,79156757,,SOURCE_DATABASE_GENBANK,PJRA01,2021-02-26,25177,Rotifera,Short read
GCA_009177125.1,Brachionus koreanus,,1199090,Sungkyunkwan University,2019-10-18,Illumina HiSeq,Scaffold,891,25075,20882402.0,26.5,567,6052,567.0,16.0,1856740.0,,85731059,78762331,pooled male and female,SOURCE_DATABASE_GENBANK,WEZV01,2019-10-18,25075,Rotifera,Short read
GCA_019054805.1,Brachionus manjavacas,,667381,Sungkyunkwan University,2021-06-29,Oxford Nanopore PromethION; Illumina HiSeq,Scaffold,7,6365377,31954584.0,27.5,61,63,61.0,7.0,6365377.0,,114172357,114169536,,SOURCE_DATABASE_GENBANK,JAHQIY01,2021-06-29,6365377,Rotifera,Long read
GCA_018683815.1,Brachionus manjavacas,,667381,Sungkyunkwan University,2021-06-03,Oxford Nanopore PromethION; Illumina HiSeq,Contig,8,3481836,29954015.0,27.5,75,75,,,,,108058317,108058317,,SOURCE_DATABASE_GENBANK,JAHBMI01,2021-06-03,3481836,Rotifera,Long read
GCA_016802215.1,Brachionus paranguensis,,2599771,Sungkyunkwan University,2021-02-02,PacBio Sequel; Illumina NovaSeq,Contig,8,4130136,29367316.0,27.5,71,71,,,,,106205255,106205255,,SOURCE_DATABASE_GENBANK,JAESIX01,2021-02-02,4130136,Rotifera,Long read
GCA_010279815.1,Brachionus plicatilis,,10195,Sungkyunkwan University,2020-02-06,Illumina HiSeq,Scaffold,473,55822,27099038.0,26.5,716,5950,716.0,29.0,1156906.0,,106939251,101315450,,SOURCE_DATABASE_GENBANK,QEOQ01,2020-02-06,55822,Rotifera,Short read
GCA_003710015.1,Brachionus plicatilis,,10195,Universitat de Valencia and Universiy of Hull,2018-11-02,Illumina MiSeq,Scaffold,2404,11989,28642228.0,26.5,14319,22189,14319.0,1413.0,20451.0,,108494170,107983108,,SOURCE_DATABASE_GENBANK,REGN01,2018-11-02,11989,Rotifera,Short read
GCA_006352415.1,Brachionus plicatilis,,10195,University of Innsbruck,2019-06-18,Illumina,Contig,1701,15645,26247502.0,26.0,15743,15743,,,,,99476262,99476262,,SOURCE_DATABASE_GENBANK,VATB01,2019-06-18,15645,Rotifera,Short read
GCA_016802295.1,Brachionus rotundiformis,,96890,Sungkyunkwan University,2021-02-02,Illumina HiSeq,Scaffold,77,174361,15964045.0,28.0,213,1169,213.0,6.0,2691490.0,,57707736,56631703,,SOURCE_DATABASE_GENBANK,JAESIW01,2021-02-02,174361,Rotifera,Short read
GCA_006352405.1,Brachionus rotundiformis,,96890,University of Innsbruck,2019-06-18,Illumina,Contig,311,43026,14178279.0,27.5,3742,3742,,,,,51058670,51058670,,SOURCE_DATABASE_GENBANK,VATC01,2019-06-18,43026,Rotifera,Short read
GCA_022207745.1,Brachionus rubens,,392764,Sungkyunkwan University,2022-02-11,PacBio Sequel,Contig,16,2506101,39772732.0,29.5,122,122,,,,,132737077,132737077,,SOURCE_DATABASE_GENBANK,JAJVHD01,2022-02-11,2506101,Rotifera,Long read
GCA_006352455.1,Brachionus sp. 'Tiscar',,1317657,University of Innsbruck,2019-06-18,Illumina,Contig,767,24091,18581518.0,26.0,8605,8605,,,,,70983965,70983965,,SOURCE_DATABASE_GENBANK,VANL01,2019-06-18,24091,Rotifera,Short read
GCA_947562095.1,Branchellion lobata,,375517,WELLCOME SANGER INSTITUTE,2022-12-13,"PacBio,Arima2",Chromosome,91,502393,64252291.0,36.5,84,719,84.0,8.0,10374467.0,17.0,174127743,174000743,,SOURCE_DATABASE_GENBANK,CANOAO01,2022-12-13,502393,Annelida,Long read
GCA_947563305.1,Branchellion lobata,,375517,WELLCOME SANGER INSTITUTE,2022-12-11,"PacBio,Arima2",Contig,121,461590,79860540.0,36.5,935,935,,,,,218276749,218276749,,SOURCE_DATABASE_GENBANK,CANOAU01,2022-12-11,461590,Annelida,Long read
GCA_010799875.2,Bugula neritina,,10212,Global Invertebrate Genomics Alliance (GIGA),2020-08-06,PacBio,Contig,595,94086,74532937.0,34.5,3546,3546,,,,,214678304,214678304,,SOURCE_DATABASE_GENBANK,VXIV02,2020-02-20,97910,Bryozoa,Long read
GCA_935421135.1,Bugulina stolonifera,,192920,WELLCOME SANGER INSTITUTE,2022-05-03,nan,Chromosome,7,12561000,86880287.0,36.5,30,60,30.0,5.0,20271823.0,11.0,234968257,234962257,,SOURCE_DATABASE_GENBANK,CAKXYU01,2022-05-03,12561000,Bryozoa,No information provided
GCA_935421085.1,Bugulina stolonifera,,192920,WELLCOME SANGER INSTITUTE,2022-04-16,nan,Scaffold,60,1184903,86669559.0,37.0,567,568,567.0,59.0,1184903.0,,233351728,233351528,,SOURCE_DATABASE_GENBANK,CAKXYT01,2022-04-16,1184903,Bryozoa,No information provided
GCA_021962125.1,Bulinus truncatus,,55810,The University of Melbourne,2022-02-04,HiC and Oxford Nanopore; Illumina NovaSeq,Scaffold,1487,234305,443198238.0,36.0,523,11226,523.0,68.0,4956851.0,,1221776979,1216413015,,SOURCE_DATABASE_GENBANK,JAGDYQ01,2022-02-04,234305,Mollusca,Long read
GCA_905116865.2,Candidula unifasciata,,100452,Senckenber Biodiversity and Climate Research Centre Frankfurt,2021-05-16,nan,Scaffold,1602,246413,547322994.0,40.5,8586,11756,8586.0,940.0,398520.0,,1356663438,1345229108,,SOURCE_DATABASE_GENBANK,CAJHNH02,2021-03-21,246413,Mollusca,No information provided
GCA_000328365.1,Capitella teleta,,283909,DOE Joint Genome Institute,2013-01-25,Sanger,Scaffold,3222,21930,111654292.0,40.0,49393,49393,20803.0,453.0,188402.0,,333283208,276663671,,SOURCE_DATABASE_GENBANK,AMQN01,2013-01-25,21930,Annelida,Short read
GCA_025895645.1,Cardicola forsteri,,335511,RMIT University,2022-10-28,Illumina NextSeq; Oxford Nanopore GridION,Contig,138,430422,62028438.0,28.5,1532,1532,,,,,216531548,216531548,hermaphrodite,SOURCE_DATABASE_GENBANK,JAKXYG01,2022-10-28,430422,Platyhelminthes,Long read
GCA_027564095.1,Cellarinelloides crassus,,2663164,IRIDIAN GENOMES,2023-01-03,Illumina,Scaffold,24793,875,37336280.0,50.0,83303,84435,83303.0,24543.0,882.0,,74423554,74412054,,SOURCE_DATABASE_GENBANK,JAOQGK01,2023-01-03,875,Bryozoa,Short read
GCA_014155875.1,Cepaea nemoralis,banded wood snail,28835,Naturalis Biodiversity Center,2020-08-11,PacBio Sequel,Scaffold,3071,330079,1439970325.0,41.0,28537,28698,28537.0,3035.0,333110.0,,3490924927,3490915992,,SOURCE_DATABASE_GENBANK,JACEFZ01,2020-08-11,330079,Mollusca,Long read
GCA_947846245.1,Cerastoderma edule,,55710,cimus,2023-01-05,"OXFORD_NANOPORE,ILLUMINA",Chromosome,217,1015184,268588168.0,35.5,19,1777,19.0,8.0,39684391.0,19.0,755460783,754581783,,SOURCE_DATABASE_GENBANK,,2023-01-05,1015184,Mollusca,Long read
GCA_028571245.1,Chromodoris orientalis,,499925,Iridian Genomes,2023-02-09,Illumina,Scaffold,125759,1791,275998143.0,37.5,481602,484405,481602.0,125086.0,1798.0,,727712454,727633556,,SOURCE_DATABASE_GENBANK,JAOXNP01,2023-02-09,1791,Mollusca,Short read
GCA_012295275.1,Chrysomallon squamiferum,scaly-foot gastropod,216257,Hong Kong University of Science and Technology,2020-04-15,Illumina NovaSeq; Oxford Nanopore MiniION,Chromosome,54,1883489,120623863.0,29.5,22,1036,22.0,6.0,30197426.0,15.0,404610835,404408035,hermaphrodite,SOURCE_DATABASE_GENBANK,SMMR01,2020-04-15,1883489,Mollusca,Long read
GCA_003604175.2,Clonorchis sinensis,oriental liver fluke,79923,The University of Melbourne,2021-04-12,HiC and Oxford Nanopore,Chromosome,204,838796,244688358.0,44.0,78,1632,78.0,2.0,168711085.0,7.0,558124894,555232002,,SOURCE_DATABASE_GENBANK,NIRI02,2018-10-01,85478,Platyhelminthes,Long read
