Assembly Accession	Organism Name	Organism Common Name	Organism Taxonomic ID	Assembly Submitter	Assembly Submission Date	Assembly Sequencing Tech	Assembly Level	Assembly Stats Contig L50	Assembly Stats Contig N50	Assembly Stats GC Count	Assembly Stats GC Percent	Assembly Stats Number of Component Sequences	Assembly Stats Number of Contigs	Assembly Stats Number of Scaffolds	Assembly Stats Scaffold L50	Assembly Stats Scaffold N50	Assembly Stats Total Number of Chromosomes	Assembly Stats Total Sequence Length	Assembly Stats Total Ungapped Length	Organism Infraspecific Names Sex	Source Database	WGS project accession
GCA_905250065.1	Adineta steineri		433720	IMPERIAL COLLEGE LONDON	2021-03-19		Scaffold	699	63248	45640365	29	9008	11117	9008	245	169644		156314491	156198338		SOURCE_DATABASE_GENBANK	CAJNON01
GCA_905332015.1	Adineta steineri		433720	IMPERIAL COLLEGE LONDON	2021-03-20		Scaffold	2085	20688	47630928	29	34092	34407	34092	2068	20845		163706511	163700261		SOURCE_DATABASE_GENBANK	CAJOAZ01
GCA_905332035.1	Adineta steineri		433720	IMPERIAL COLLEGE LONDON	2021-03-20		Scaffold	1930	21460	48774360	29	39093	39683	39093	1837	22358		166602683	166566774		SOURCE_DATABASE_GENBANK	CAJOAY01
GCA_905332045.1	Adineta steineri		433720	IMPERIAL COLLEGE LONDON	2021-03-20		Scaffold	1902	22096	47706862	29	32429	32791	32429	1846	22714		163826361	163808677		SOURCE_DATABASE_GENBANK	CAJOBB01
GCA_021613535.1	Adineta vaga		104782	University of Namur	2022-01-26		Chromosome	3	14694427	30999091	30.5	6	25	6	3	16930519	6	100824805	100824368		SOURCE_DATABASE_GENBANK	
GCA_000513175.1	Adineta vaga		104782	Genoscope CEA	2013-11-26		Scaffold	579	94665	65866350	30.5	41657	41968	36167	240	260259		217933776	213699671		SOURCE_DATABASE_GENBANK	CAWI02
GCA_013411005.1	Adineta vaga		104782	Skolkovo Institute of Science and Technology	2020-07-13	Illumina MiSeq	Contig	2621	22072	58963306	29.5	19202	19202					197096676	197096676		SOURCE_DATABASE_GENBANK	WJQV01
GCA_021403095.1	Adineta vaga		104782	Marine Biological Laboratory	2022-01-10	PacBio RSII; Illumina MiSeq	Contig	694	87402	65360423	30	9856	9856					217117546	217117546		SOURCE_DATABASE_GENBANK	JAGENE01
GCA_900239655.1	Adineta vaga		104782	IMPERIAL COLLEGE LONDON	2018-02-10		Contig	333	86888	33930727	31	12963	12963					109398351	109398351		SOURCE_DATABASE_GENBANK	OENK01
GCA_900239665.1	Adineta vaga		104782	IMPERIAL COLLEGE LONDON	2018-02-12		Contig	23420	1259	66424449	30.5	298880	298880					216204602	216204602		SOURCE_DATABASE_GENBANK	OEOC01
GCA_026167845.1	Alcyonidium flabelliforme		2663170	IRIDIAN GENOMES	2022-11-14	Illumina	Scaffold	19803	268	6339442	43.5	48775	48789	48775	19804	268		14514068	14513928		SOURCE_DATABASE_GENBANK	JAOQFJ01
GCA_932294295.1	Alitta virens		880429	WELLCOME SANGER INSTITUTE	2022-03-11		Chromosome	27	7783370	252442375	37.5	24	218	24	6	42251612	14	671154093	671115293		SOURCE_DATABASE_GENBANK	CAKOAE01
GCA_932294305.1	Alitta virens		880429	WELLCOME SANGER INSTITUTE	2022-03-11		Contig	431	338767	195843416	37.5	3741	3741					521799974	521799974		SOURCE_DATABASE_GENBANK	CAKOAC01
GCA_018857735.1	Alviniconcha marisindica		1491186	HKUST	2021-06-11	PacBio Sequel; Oxford Nanopore MinION	Contig	336	727552	377212195	45	3926	3926					829610088	829610088		SOURCE_DATABASE_GENBANK	JABMCL01
GCA_949316495.1	Amphiduros pacificus		1209993	WELLCOME SANGER INSTITUTE	2023-03-10	PacBio,Arima2	Chromosome	32	7010533	260455461	37.5	32	187	32	6	54531576	13	694322451	694291451		SOURCE_DATABASE_GENBANK	CASGGN01
GCA_026873925.1	Amphioctopus burryi		2447850	Iridian Genomes	2022-12-13	Illumina	Scaffold	267031	869	248011849	37.5	605084	786390	605084	26	3795778		1031232840	661314631		SOURCE_DATABASE_GENBANK	JAOSYW01
GCA_944989445.1	Ampullaceana balthica		582868	Senckenber Biodiversity and Climate Research Centre Frankfurt	2022-07-13		Scaffold	620	435188	399615033	36	4540	7533	4540	343	816280		1105887359	1099326933		SOURCE_DATABASE_GENBANK	CALYLW01
GCA_900184025.1	Amynthas corticis		351238	CARDIFF SCHOOL OF BIOSCIENCES	2017-07-18		Scaffold	481039	510	408236854	40	3169720	3225964	3169720	453614	539		1017224661	1013688070		SOURCE_DATABASE_GENBANK	FXXH01
GCA_900184015.1	Amynthas corticis		351238	CARDIFF SCHOOL OF BIOSCIENCES	2017-07-17		Scaffold	478750	216	186475295	40.5	1972796	2037408	1972796	412946	222		459466737	455989790		SOURCE_DATABASE_GENBANK	FXXG01
GCA_021292105.1	Anadara kagoshimensis		1390362	Liaoning Ocean and Fisheries Science Research Institute	2021-12-28	PacBio Sequel	Chromosome	176	1935399	373908242	33.5	36	975	36	9	60635260	19	1115236308	1114297308		SOURCE_DATABASE_GENBANK	JACFYK01
GCA_009936545.2	Anentome helena		1912881	IRIDIAN GENOMES	2022-11-21	Illumina	Scaffold	167510	737	158578921	43	477554	478330	477554	167589	737		365203695	365174155		SOURCE_DATABASE_GENBANK	WUUA02
GCF_000002075.1	Aplysia californica	California sea hare	6500	Broad Institute	2013-05-15	Illumina Hi-Seq	Scaffold	16682	9584	297686214	40	164544	164544	4331	291	917541		927296314	737783370	hermaphrodite	SOURCE_DATABASE_REFSEQ	AASC03
GCA_000002075.2	Aplysia californica	California sea hare	6500	Broad Institute	2013-05-15	Illumina Hi-Seq	Scaffold	16682	9584	297686214	40	164544	164544	4331	291	917541		927296314	737783370	hermaphrodite	SOURCE_DATABASE_GENBANK	AASC03
GCA_020284085.1	Aporrectodea caliginosa		302032	None	2021-10-06	Oxford Nanopore; Illumina	Scaffold	391	825441	446294889	40	6451	7077	6451	279	1177782		1111813877	1110646419	hermaphrodite	SOURCE_DATABASE_GENBANK	JACEVL01
GCA_006491835.1	Architeuthis dux	giant squid	256136	CIIMAR - Interdisciplinary Centre of Marine and Environmental Research	2019-06-26	Illumina HiSeq; Chicago and Dovetail Hi-C	Scaffold	114664	5397	809286996	36	7373	681943	7373	160	4852590		2693618964	2242100778		SOURCE_DATABASE_GENBANK	VCCN01
GCA_014843695.1	Archivesica marissinica		2291877	Hong Kong Baptist University	2020-10-07	PacBio Sequel; Illumina NovaSeq	Chromosome	5655	79144	592617087	39	4005	29278	4005	9	74312544	19	1544610695	1519337608		SOURCE_DATABASE_GENBANK	JABXNX01
GCA_004382765.1	Argopecten irradians concentricus		158586	Qingdao Agricultural University	2019-03-26	Illumina HiSeq	Scaffold	3519	63725	309333623	35.5	82208	119459	82208	202	1246717		874784041	867812944		SOURCE_DATABASE_GENBANK	SAYQ01
GCA_004382745.1	Argopecten irradians irradians	bay scallop	158587	Qingdao Agricultural University	2019-03-26	Illumina HiSeq	Scaffold	2698	78654	292069892	35	77685	111436	77685	150	1533165		835595382	826255115		SOURCE_DATABASE_GENBANK	SAYR01
GCA_020796225.1	Arion vulgaris		1028688	SNSB - Zoologische Staatssammlung Munchen	2021-11-08	Illumina HiSeq; Nanopore PromethION; Hi-C	Chromosome	49	8603329	592964096	38	6751	7076	6751	10	64342731	26	1541026261	1540993941		SOURCE_DATABASE_GENBANK	JADZMA01
GCA_013407085.1	Atriophallophorus winterbourni		2682772	Swiss Federal Institute of Technology in Zurich	2020-07-13	Illumina HiSeq; PacBio	Scaffold	4694	33380	244116754	40.5	26114	29239	26114	3947	40108		601728533	599404735	hermaphrodite	SOURCE_DATABASE_GENBANK	JACCGJ01
GCA_011634625.1	Babylonia areolata		304850	Fisheries and Technical, Economic College	2020-03-23	Illumina NovaSeq; Oxford Nanopore MinION	Scaffold	46183	5933	476870856	43	340123	359333	340123	43506	6321		1108395005	1106483053		SOURCE_DATABASE_GENBANK	JAAQRG01
GCA_018292915.1	Batillaria attramentaria		370345	Ewha Womans University	2021-05-06	PacBio Sequel	Contig	158	1290776	321790871	44.5	863	863					717569005	717569005		SOURCE_DATABASE_GENBANK	JACVVK01
GCA_016432935.1	Benedenia humboldti		2730667	Clemson University	2021-01-06	Illumina	Contig	111	3974	719455	33.5	1079	1079					2136498	2136498		SOURCE_DATABASE_GENBANK	JAEDOY01
GCF_000457365.2	Biomphalaria glabrata	bloodfluke planorb	6526	Washington University (WashU)	2013-09-06	454 FLX Titanium	Scaffold	32140	7299	322969017	35.5	406924	406924	330021	3091	48076	116	914943342	897466079		SOURCE_DATABASE_REFSEQ	APKA01
GCA_000457365.2	Biomphalaria glabrata	bloodfluke planorb	6526	Washington University (WashU)	2013-09-06	454 FLX Titanium	Scaffold	32140	7299	322969017	35.5	406924	406924	330021	3091	48076	116	914943342	897466079		SOURCE_DATABASE_GENBANK	APKA01
GCA_014524955.1	Biomphalaria glabrata	bloodfluke planorb	6526	Oregon State University	2020-09-11	PacBio Sequel	Contig	575	394791	276711554	36	3492	3492					767739590	767739590		SOURCE_DATABASE_GENBANK	JABXJA01
GCA_014524965.1	Biomphalaria glabrata	bloodfluke planorb	6526	Oregon State University	2020-09-11	PacBio Sequel	Contig	100	2598223	307905789	36	927	927					852019028	852019028		SOURCE_DATABASE_GENBANK	JABXJB01
GCA_014525025.1	Biomphalaria glabrata	bloodfluke planorb	6526	Oregon State University	2020-09-11	PacBio Sequel	Contig	321	743154	292895312	36	2717	2717					810871405	810871405		SOURCE_DATABASE_GENBANK	JABXJC01
GCA_024586205.1	Biomphalaria glabrata	bloodfluke planorb	6526	Oregon State University	2022-08-08	PacBio Sequel	Scaffold	33	7313524	308761831	36	1833	1932	1833	19	15088501		852540440	852530540		SOURCE_DATABASE_GENBANK	JANFOY01
GCA_024586215.1	Biomphalaria glabrata	bloodfluke planorb	6526	Oregon State University	2022-08-08	PacBio Sequel	Scaffold	118	1995974	303748286	36	2515	2643	2515	94	2345001		837321584	837308784		SOURCE_DATABASE_GENBANK	JANFOZ01
GCA_025434165.1	Biomphalaria glabrata	bloodfluke planorb	6526	Center for Evolutionary and Theoretical Immunology	2022-09-27	PacBio Sequel; Illumina NextSeq	Contig	18	19398339	319586071	36	346	346					885210441	885210441		SOURCE_DATABASE_GENBANK	JAKZJK01
GCA_025434175.1	Biomphalaria glabrata	bloodfluke planorb	6526	Center for Evolutionary and Theoretical Immunology	2022-09-27	PacBio Sequel; Illumina NextSeq	Contig	13	22698051	314730424	36	255	255					870959050	870959050		SOURCE_DATABASE_GENBANK	JAKZJL01
GCA_947242115.1	Biomphalaria glabrata	bloodfluke planorb	6526	WELLCOME SANGER INSTITUTE	2022-10-29	PacBio,Arima2	Chromosome	27	10774472	307478615	36	43	200	43	7	48536009	18	850620091	850588691		SOURCE_DATABASE_GENBANK	CAMXHX01
GCA_947242385.1	Biomphalaria glabrata	bloodfluke planorb	6526	WELLCOME SANGER INSTITUTE	2022-10-28	PacBio,Arima2	Contig	267	647569	225638473	36	2845	2845					623420618	623420618		SOURCE_DATABASE_GENBANK	CAMXHY01
GCA_021533235.1	Biomphalaria straminea		112526	The Chinese University of Hong Kong	2022-01-20	Illumina HiSeq	Scaffold	27228	9530	344078632	36	84585	184972	84585	15	25272813		1004745081	954954798		SOURCE_DATABASE_GENBANK	JADKLZ01
GCA_028566455.1	Botula fusca		857299	Iridian Genomes	2023-02-09	Illumina	Scaffold	181174	2129	460898323	34.5	780778	802895	780778	173412	2171		1333706665	1328841128		SOURCE_DATABASE_GENBANK	JAOXYH01
GCA_021432725.1	Brachionus angularis		396692	Sungkyunkwan University	2022-01-11	Oxford Nanopore PromethION; Illumina NovaSeq	Contig	5	5422639	13367433	23.5	21	21					56513240	56513240		SOURCE_DATABASE_GENBANK	JAJVDD01
GCA_025491095.1	Brachionus asplanchnoidis		1857775	University of Innsbruck	2022-09-29	PacBio Sequel	Contig	20	3065462	70154270	30	455	455					230116674	230116674		SOURCE_DATABASE_GENBANK	JAILYF01
GCA_006352335.1	Brachionus asplanchnoidis		1857775	University of Innsbruck	2019-06-18	Illumina HiSeq	Contig	2902	10465	29980483	26	23471	23471					114426057	114426057		SOURCE_DATABASE_GENBANK	VAHG01
GCA_006352485.1	Brachionus asplanchnoidis		1857775	University of Innsbruck	2019-06-18	Illumina	Contig	3290	9227	30050620	26	26013	26013					114845438	114845438		SOURCE_DATABASE_GENBANK	SZZS01
GCA_002922825.1	Brachionus calyciflorus		104777	Sungkyunkwan University	2018-02-07	Illumina HiSeq	Scaffold	1321	26524	31384747	25.5	1041	9394	1041	48	785733		129626318	121385167	pooled male and female	SOURCE_DATABASE_GENBANK	NTPY01
GCA_905250105.1	Brachionus calyciflorus		104777	IMPERIAL COLLEGE LONDON	2021-03-19		Scaffold	1902	16543	29892794	25.5	14869	15666	14869	1692	18516		116732113	116656851		SOURCE_DATABASE_GENBANK	CAJNOC01
GCA_016987375.1	Brachionus koreanus		1199090	Sungkyunkwan University	2021-02-26	Illumina HiSeq	Scaffold	892	25177	20986688	26.5	567	6067	567	16	1856740		86146996	79156757		SOURCE_DATABASE_GENBANK	PJRA01
GCA_009177125.1	Brachionus koreanus		1199090	Sungkyunkwan University	2019-10-18	Illumina HiSeq	Scaffold	891	25075	20882402	26.5	567	6052	567	16	1856740		85731059	78762331	pooled male and female	SOURCE_DATABASE_GENBANK	WEZV01
GCA_019054805.1	Brachionus manjavacas		667381	Sungkyunkwan University	2021-06-29	Oxford Nanopore PromethION; Illumina HiSeq	Scaffold	7	6365377	31954584	27.5	61	63	61	7	6365377		114172357	114169536		SOURCE_DATABASE_GENBANK	JAHQIY01
GCA_018683815.1	Brachionus manjavacas		667381	Sungkyunkwan University	2021-06-03	Oxford Nanopore PromethION; Illumina HiSeq	Contig	8	3481836	29954015	27.5	75	75					108058317	108058317		SOURCE_DATABASE_GENBANK	JAHBMI01
GCA_016802215.1	Brachionus paranguensis		2599771	Sungkyunkwan University	2021-02-02	PacBio Sequel; Illumina NovaSeq	Contig	8	4130136	29367316	27.5	71	71					106205255	106205255		SOURCE_DATABASE_GENBANK	JAESIX01
GCA_010279815.1	Brachionus plicatilis		10195	Sungkyunkwan University	2020-02-06	Illumina HiSeq	Scaffold	473	55822	27099038	26.5	716	5950	716	29	1156906		106939251	101315450		SOURCE_DATABASE_GENBANK	QEOQ01
GCA_003710015.1	Brachionus plicatilis		10195	Universitat de Valencia and Universiy of Hull	2018-11-02	Illumina MiSeq	Scaffold	2404	11989	28642228	26.5	14319	22189	14319	1413	20451		108494170	107983108		SOURCE_DATABASE_GENBANK	REGN01
GCA_006352415.1	Brachionus plicatilis		10195	University of Innsbruck	2019-06-18	Illumina	Contig	1701	15645	26247502	26	15743	15743					99476262	99476262		SOURCE_DATABASE_GENBANK	VATB01
GCA_016802295.1	Brachionus rotundiformis		96890	Sungkyunkwan University	2021-02-02	Illumina HiSeq	Scaffold	77	174361	15964045	28	213	1169	213	6	2691490		57707736	56631703		SOURCE_DATABASE_GENBANK	JAESIW01
GCA_006352405.1	Brachionus rotundiformis		96890	University of Innsbruck	2019-06-18	Illumina	Contig	311	43026	14178279	27.5	3742	3742					51058670	51058670		SOURCE_DATABASE_GENBANK	VATC01
GCA_022207745.1	Brachionus rubens		392764	Sungkyunkwan University	2022-02-11	PacBio Sequel	Contig	16	2506101	39772732	29.5	122	122					132737077	132737077		SOURCE_DATABASE_GENBANK	JAJVHD01
GCA_006352455.1	Brachionus sp. 'Tiscar'		1317657	University of Innsbruck	2019-06-18	Illumina	Contig	767	24091	18581518	26	8605	8605					70983965	70983965		SOURCE_DATABASE_GENBANK	VANL01
GCA_947562095.1	Branchellion lobata		375517	WELLCOME SANGER INSTITUTE	2022-12-13	PacBio,Arima2	Chromosome	91	502393	64252291	36.5	84	719	84	8	10374467	17	174127743	174000743		SOURCE_DATABASE_GENBANK	CANOAO01
GCA_947563305.1	Branchellion lobata		375517	WELLCOME SANGER INSTITUTE	2022-12-11	PacBio,Arima2	Contig	121	461590	79860540	36.5	935	935					218276749	218276749		SOURCE_DATABASE_GENBANK	CANOAU01
GCA_010799875.2	Bugula neritina		10212	Global Invertebrate Genomics Alliance (GIGA)	2020-08-06	PacBio	Contig	595	94086	74532937	34.5	3546	3546					214678304	214678304		SOURCE_DATABASE_GENBANK	VXIV02
GCA_935421135.1	Bugulina stolonifera		192920	WELLCOME SANGER INSTITUTE	2022-05-03		Chromosome	7	12561000	86880287	36.5	30	60	30	5	20271823	11	234968257	234962257		SOURCE_DATABASE_GENBANK	CAKXYU01
GCA_935421085.1	Bugulina stolonifera		192920	WELLCOME SANGER INSTITUTE	2022-04-16		Scaffold	60	1184903	86669559	37	567	568	567	59	1184903		233351728	233351528		SOURCE_DATABASE_GENBANK	CAKXYT01
GCA_021962125.1	Bulinus truncatus		55810	The University of Melbourne	2022-02-04	HiC and Oxford Nanopore; Illumina NovaSeq	Scaffold	1487	234305	443198238	36	523	11226	523	68	4956851		1221776979	1216413015		SOURCE_DATABASE_GENBANK	JAGDYQ01
GCA_905116865.2	Candidula unifasciata		100452	Senckenber Biodiversity and Climate Research Centre Frankfurt	2021-05-16		Scaffold	1602	246413	547322994	40.5	8586	11756	8586	940	398520		1356663438	1345229108		SOURCE_DATABASE_GENBANK	CAJHNH02
GCA_000328365.1	Capitella teleta		283909	DOE Joint Genome Institute	2013-01-25	Sanger	Scaffold	3222	21930	111654292	40	49393	49393	20803	453	188402		333283208	276663671		SOURCE_DATABASE_GENBANK	AMQN01
GCA_025895645.1	Cardicola forsteri		335511	RMIT University	2022-10-28	Illumina NextSeq; Oxford Nanopore GridION	Contig	138	430422	62028438	28.5	1532	1532					216531548	216531548	hermaphrodite	SOURCE_DATABASE_GENBANK	JAKXYG01
GCA_027564095.1	Cellarinelloides crassus		2663164	IRIDIAN GENOMES	2023-01-03	Illumina	Scaffold	24793	875	37336280	50	83303	84435	83303	24543	882		74423554	74412054		SOURCE_DATABASE_GENBANK	JAOQGK01
GCA_014155875.1	Cepaea nemoralis	banded wood snail	28835	Naturalis Biodiversity Center	2020-08-11	PacBio Sequel	Scaffold	3071	330079	1439970325	41	28537	28698	28537	3035	333110		3490924927	3490915992		SOURCE_DATABASE_GENBANK	JACEFZ01
GCA_947846245.1	Cerastoderma edule		55710	cimus	2023-01-05	OXFORD_NANOPORE,ILLUMINA	Chromosome	217	1015184	268588168	35.5	19	1777	19	8	39684391	19	755460783	754581783		SOURCE_DATABASE_GENBANK	
GCA_028571245.1	Chromodoris orientalis		499925	Iridian Genomes	2023-02-09	Illumina	Scaffold	125759	1791	275998143	37.5	481602	484405	481602	125086	1798		727712454	727633556		SOURCE_DATABASE_GENBANK	JAOXNP01
GCA_012295275.1	Chrysomallon squamiferum	scaly-foot gastropod	216257	Hong Kong University of Science and Technology	2020-04-15	Illumina NovaSeq; Oxford Nanopore MiniION	Chromosome	54	1883489	120623863	29.5	22	1036	22	6	30197426	15	404610835	404408035	hermaphrodite	SOURCE_DATABASE_GENBANK	SMMR01
GCA_003604175.2	Clonorchis sinensis	oriental liver fluke	79923	The University of Melbourne	2021-04-12	HiC and Oxford Nanopore	Chromosome	204	838796	244688358	44	78	1632	78	2	168711085	7	558124894	555232002		SOURCE_DATABASE_GENBANK	NIRI02
GCA_000236345.1	Clonorchis sinensis	oriental liver fluke	79923	Department of Parasitology, Zhongshan School of Medicine, Sun Yat-sen University	2011-11-28	Illumina	Scaffold	719	233037	241009334	44	6190	6190	4348	408	417486		547288241	547104041		SOURCE_DATABASE_GENBANK	BADR02
GCA_900004695.1	Colubraria reticulata		604273	UNIVERSITY OF KONSTANZ	2016-03-09		Contig	18534	890	29726529	44	144469	144469					67101142	67101142		SOURCE_DATABASE_GENBANK	CVMW01
GCA_029237695.1	Conchocele bisecta		1803738	Institute of Oceanology, Chinese Academy of Sciences	2023-03-20	BGISEQ500; PacBio Sequel	Chromosome	972	515412	745331051	39	6452	15364	6452	7	106883709	17	1904932765	1900476765		SOURCE_DATABASE_GENBANK	JAQRGA01
GCA_027627225.1	Congeria kusceri		152013	University of Missouri	2023-01-13	PacBio Sequel	Chromosome	65	6387040	551917242	35.5	1084	1411	1084	9	72441503	17	1550098618	1550033218		SOURCE_DATABASE_GENBANK	JAPFQT01
GCA_016801955.1	Conus betulinus		89764	BGI-SZ	2021-02-02	PacBio Sequel	Scaffold	4483	182638	1503664060	44	41413	51350	41413	3759	232489		3429626206	3399673548		SOURCE_DATABASE_GENBANK	JADBJO01
GCA_004193615.1	Conus consors		101297	The CONCO consortium	2019-02-12	454; Illumina GAII	Scaffold	699343	749	800012824	42	2688687	3163942	2688687	183328	1128		2049318684	1888147972		SOURCE_DATABASE_GENBANK	SDAX01
GCA_001262575.1	Conus tribblei		101761	Marine Science Institute, University of the Philippines-Diliman	2015-08-04	Illumina HiSeq	Scaffold	536985	854	720854365	42.5	1126156	3298691	1126156	215632	2681		2160493082	1693230923	female	SOURCE_DATABASE_GENBANK	LFLW01
GCA_018398815.1	Conus ventricosus		117992	Museo Nacional de Ciencias Naturales (CSIC)	2021-05-25	PacBio Sequel II	Chromosome	8015	114325	1560157165	43.5	19399	73814	19399	16	93519712	35	3592060885	3563430885		SOURCE_DATABASE_GENBANK	JAFLJL01
GCA_001632725.1	Corbicula fluminea	asian clam	45949	University of Girona	2016-04-26	454	Contig	267	849	233504	35	778	778					662517	662517		SOURCE_DATABASE_GENBANK	LWHL01
GCF_025612915.1	Crassostrea angulata	Portugese oyster	558553	Ocean University of China	2022-10-07	PacBio Sequel	Chromosome	18	10870631	209550954	33.5	410	673	410	5	60476782	10	624273838	624142338	female	SOURCE_DATABASE_REFSEQ	JANFPH01
GCA_025612915.2	Crassostrea angulata	Portugese oyster	558553	Ocean University of China	2022-10-07	PacBio Sequel	Chromosome	18	10870631	209550954	33.5	410	673	410	5	60476782	10	624273838	624142338	female	SOURCE_DATABASE_GENBANK	JANFPH01
GCA_025765675.1	Crassostrea angulata	Portugese oyster	558553	Institute of Oceanology, Chinese Academy of Sciences	2022-10-20	PacBio CCS	Scaffold	18	12787832	195916905	33.5	75	166	75	5	60089347		582327017	582281517		SOURCE_DATABASE_GENBANK	JAOAOL01
GCA_020458035.1	Crassostrea ariakensis	Suminoe oyster	94323	Yellow Sea Fisheries Research Institute, Chinese Academy of Fishery Sciences	2021-10-15	PacBio	Chromosome	37	5932265	222443114	33.5	60	522	60	5	66336742	10	663145247	662866272		SOURCE_DATABASE_GENBANK	JAIUNE01
GCA_020567875.1	Crassostrea ariakensis	Suminoe oyster	94323	Institute of Oceanology, Chinese Academy of Sciences	2021-11-04	Oxford Nanopore PromethION	Chromosome	37	4726206	205120938	33	415	630	415	5	62260571	10	613913980	613892480		SOURCE_DATABASE_GENBANK	JAGFMG01
GCF_902806645.1	Crassostrea gigas	Pacific oyster	29159	THE ROSLIN INSTITUTE	2020-02-19		Chromosome	116	1564469	217012898	33	236	783	236	5	58462999	10	647887097	647867330		SOURCE_DATABASE_REFSEQ	CADCXH01
GCF_000297895.1	Crassostrea gigas	Pacific oyster	29159	BGI-Shenzhen	2012-09-19	Illumina HiSeq 2000	Scaffold	4652	31239			30459	30459	7658	400	401685		557717710	491850583		SOURCE_DATABASE_REFSEQ	AFTI01
GCA_000297895.1	Crassostrea gigas	Pacific oyster	29159	BGI-Shenzhen	2012-09-19	Illumina HiSeq 2000	Scaffold	4652	31239	164400223	33	30459	30459	7658	400	401685		557717710	491850583		SOURCE_DATABASE_GENBANK	AFTI01
GCA_000297895.2	Crassostrea gigas	Pacific oyster	29159	BGI-Shenzhen	2019-08-08	Illumina HiSeq	Scaffold	3890	42304	183417315	33	7655	26965	7655	547	286862		564789775	548819937		SOURCE_DATABASE_GENBANK	AFTI02
GCA_005518195.2	Crassostrea gigas	Pacific oyster	29159	Northwestern Polytechnical University	2019-12-16	Oxford Nanopore GridION	Contig	220	581941	195855487	33	3676	3676					587503506	587503506	male	SOURCE_DATABASE_GENBANK	SZQM02
GCA_011032805.1	Crassostrea gigas	Pacific oyster	29159	Institute of Oceanology, Chinese Academy of Sciences	2020-02-27	PacBio Sequel	Chromosome	65	3119288	196512881	33	10	301	10	5	60957391	10	586856703	586827603	female	SOURCE_DATABASE_GENBANK	
GCA_025765685.1	Crassostrea gigas	Pacific oyster	29159	Institute of Oceanology, Chinese Academy of Sciences	2022-10-20	PacBio CCS	Scaffold	35	5462831	204164067	33.5	88	293	88	5	60539700		606372393	606269893		SOURCE_DATABASE_GENBANK	JAOAOK01
GCA_902806645.1	Crassostrea gigas	Pacific oyster	29159	THE ROSLIN INSTITUTE	2020-02-19		Chromosome	116	1564469	217012898	33	236	783	236	5	58462999	10	647887097	647867330		SOURCE_DATABASE_GENBANK	CADCXH01
